"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2000","Grèce","Nombre","8038",""
"2000","Espagne","Nombre","45104",""
"2000","France","Nombre","48835",""
"2000","Croatie","Nombre","2623",""
"2000","Italie","Nombre","54039",""
"2000","Chypre","Nombre","287",""
"2000","Lettonie","Nombre","8831",""
"2000","Lituanie","Nombre","8667",""
"2000","Luxembourg","Nombre","400",""
"2000","Hongrie","Nombre","15539",""
"2000","Malte","Nombre","246",""
"2000","Pays-Bas","Nombre","12700",""
"2000","Autriche","Nombre","6896",""
"2000","Pologne","Nombre","65336",""
"2000","Portugal","Nombre","12728",""
"2000","Roumanie","Nombre","48267",""
"2000","Slovénie","Nombre","1136",""
"2000","Slovaquie","Nombre","7136",""
"2000","Finlande","Nombre","2887",""
"2000","Suède","Nombre","5453",""
"2000","England et Wales","Nombre","65666",""
"2000","Scotland","Nombre","5869",""
"2000","Northern Ireland (UK)","Nombre","1011",""
"2000","Islande","Nombre","78",""
"2000","Liechtenstein","Nombre","69",""
"2000","Norvège","Nombre","2548",""
"2000","Suisse","Nombre","5666",""
"2000","Monténégro","Nombre","671",""
"2000","Ancienne République yougoslave de Macédoine","Nombre","1425",""
"2000","Serbie","Nombre",":",""
"2000","Turquie","Nombre","50628",""
"2001","Belgique","Nombre","8544",""
"2001","Bulgarie","Nombre","9283",""
"2001","Tchéquie","Nombre","20971",""
"2001","Danemark","Nombre","3236",""
"2001","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","70203",""
"2001","Estonie","Nombre","4803",""
"2001","Irlande","Nombre","3025",""
"2001","Grèce","Nombre","8343",""
"2001","Espagne","Nombre","47571",""
"2001","France","Nombre","47005",""
"2001","Croatie","Nombre","2679",""
"2001","Italie","Nombre","55751",""
"2001","Chypre","Nombre","369",""
"2001","Lettonie","Nombre","8673",""
"2001","Lituanie","Nombre","10750",""
"2001","Luxembourg","Nombre","341",""
"2001","Hongrie","Nombre","17275",""
"2001","Malte","Nombre","257",""
"2001","Pays-Bas","Nombre","13743",""
"2001","Autriche","Nombre","6915",""
"2001","Pologne","Nombre","80004",""
"2001","Portugal","Nombre","13210",""
"2001","Roumanie","Nombre","49840",""
"2001","Slovénie","Nombre","1155",""
"2001","Slovaquie","Nombre","7509",""
"2001","Finlande","Nombre","3110",""
"2001","Suède","Nombre","6060",""
"2001","England et Wales","Nombre","67056",""
"2001","Scotland","Nombre","6182",""
"2001","Northern Ireland (UK)","Nombre","872",""
"2001","Islande","Nombre","110",""
"2001","Liechtenstein","Nombre","86",""
"2001","Norvège","Nombre","2762",""
"2001","Suisse","Nombre","5161",""
"2001","Monténégro","Nombre","669",""
"2001","Ancienne République yougoslave de Macédoine","Nombre","1398",""
