"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2011","Lituanie","Total","Total","Nombre","3.052.588",""
"2011","Luxembourg","Total","Total","Nombre","511.840",""
"2011","Hongrie","Total","Total","Nombre","9.985.722",""
"2011","Malte","Total","Total","Nombre","414.989",""
"2011","Pays-Bas","Total","Total","Nombre","16.655.799",""
"2011","Autriche","Total","Total","Nombre","8.375.164",""
"2011","Pologne","Total","Total","Nombre","38.062.718",""
"2011","Portugal","Total","Total","Nombre","10.572.721",""
"2011","Roumanie","Total","Total","Nombre","20.199.059",""
"2011","Slovénie","Total","Total","Nombre","2.050.189",""
"2011","Slovaquie","Total","Total","Nombre","5.392.446",""
"2011","Finlande","Total","Total","Nombre","5.375.276",""
"2011","Suède","Total","Total","Nombre","9.415.570",""
"2011","Royaume-Uni","Total","Total","Nombre","63.022.532",""
"2011","Espace économique européen (EEE) (UE28 - composition actuelle, plus IS, LI, NO)","Total","Total","Nombre","508.239.743","b"
"2011","Espace économique européen (EEE) (UE27 - avant l'accession de la Croatie, plus IS, LI, NO)","Total","Total","Nombre","503.949.886","b"
"2011","Association Européenne de Libre Echange (AELE)","Total","Total","Nombre","13.145.040","b"
"2011","Islande","Total","Total","Nombre","318.452",""
"2011","Liechtenstein","Total","Total","Nombre","36.149",""
"2011","Norvège","Total","Total","Nombre","4.920.305",""
"2011","Suisse","Total","Total","Nombre","7.870.134","b"
"2011","Monténégro","Total","Total","Nombre","619.850",""
"2011","Ancienne République yougoslave de Macédoine","Total","Total","Nombre","2.057.284",""
"2011","Albanie","Total","Total","Nombre","2.907.361",""
"2011","Serbie","Total","Total","Nombre","7.251.549","b"
"2011","Turquie","Total","Total","Nombre","73.722.988",""
"2011","Andorre","Total","Total","Nombre","78.115",""
"2011","Biélorussie","Total","Total","Nombre","9.481.193",""
"2011","Bosnie-Herzégovine","Total","Total","Nombre","3.843.183",""
"2011","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total","Nombre","1.794.180","b"
"2011","Moldavie","Total","Total","Nombre","3.560.430",""
"2011","Monaco","Total","Total","Nombre",":",""
"2011","Russie","Total","Total","Nombre","142.856.536",""
"2011","Saint-Marin","Total","Total","Nombre","31.863",""
"2011","Ukraine","Total","Total","Nombre","45.598.179",""
"2011","Arménie","Total","Total","Nombre","3.262.650",""
"2011","Azerbaïdjan","Total","Total","Nombre","9.111.078",""
"2011","Géorgie","Total","Total","Nombre","4.469.250",""
"2012","Union européenne (composition actuelle)","Total","Total","Nombre","504.047.964","b"
"2012","Union européenne (avant l'accession de la Croatie)","Total","Total","Nombre","499.771.980","b"
"2012","Zone euro (19 pays)","Total","Total","Nombre","335.288.924","b"
"2012","Zone euro (18 pays)","Total","Total","Nombre","332.285.283","b"
"2012","Belgique","Total","Total","Nombre","11.075.889","b"
"2012","Bulgarie","Total","Total","Nombre","7.327.224",""
"2012","Tchéquie","Total","Total","Nombre","10.505.445",""
"2012","Danemark","Total","Total","Nombre","5.580.516",""
"2012","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","Nombre","80.327.900",""
"2012","Allemagne incluant l'ancienne RDA","Total","Total","Nombre","80.327.900",""
"2012","Estonie","Total","Total","Nombre","1.325.217",""
"2012","Irlande","Total","Total","Nombre","4.589.287",""
"2012","Grèce","Total","Total","Nombre","11.086.406",""
"2012","Espagne","Total","Total","Nombre","46.818.219",""
"2012","France","Total","Total","Nombre","65.276.983","b"
"2012","France (métropolitaine)","Total","Total","Nombre","63.375.971",""
"2012","Croatie","Total","Total","Nombre","4.275.984",""
"2012","Italie","Total","Total","Nombre","59.394.207",""
"2012","Chypre","Total","Total","Nombre","862.011",""
"2012","Lettonie","Total","Total","Nombre","2.044.813",""
"2012","Lituanie","Total","Total","Nombre","3.003.641",""
"2012","Luxembourg","Total","Total","Nombre","524.853","b"
"2012","Hongrie","Total","Total","Nombre","9.931.925","b"
"2012","Malte","Total","Total","Nombre","417.546",""
"2012","Pays-Bas","Total","Total","Nombre","16.730.348",""
"2012","Autriche","Total","Total","Nombre","8.408.121",""
"2012","Pologne","Total","Total","Nombre","38.063.792",""
"2012","Portugal","Total","Total","Nombre","10.542.398",""
"2012","Roumanie","Total","Total","Nombre","20.095.996",""
"2012","Slovénie","Total","Total","Nombre","2.055.496",""
"2012","Slovaquie","Total","Total","Nombre","5.404.322",""
"2012","Finlande","Total","Total","Nombre","5.401.267",""
"2012","Suède","Total","Total","Nombre","9.482.855",""
"2012","Royaume-Uni","Total","Total","Nombre","63.495.303",""
"2012","Espace économique européen (EEE) (UE28 - composition actuelle, plus IS, LI, NO)","Total","Total","Nombre","509.389.884","b"
"2012","Espace économique européen (EEE) (UE27 - avant l'accession de la Croatie, plus IS, LI, NO)","Total","Total","Nombre","505.113.900","b"
"2012","Association Européenne de Libre Echange (AELE)","Total","Total","Nombre","13.296.582",""
"2012","Islande","Total","Total","Nombre","319.575",""
"2012","Liechtenstein","Total","Total","Nombre","36.475",""
"2012","Norvège","Total","Total","Nombre","4.985.870",""
"2012","Suisse","Total","Total","Nombre","7.954.662",""
"2012","Monténégro","Total","Total","Nombre","620.308",""
"2012","Ancienne République yougoslave de Macédoine","Total","Total","Nombre","2.059.794",""
"2012","Albanie","Total","Total","Nombre","2.903.008",""
"2012","Serbie","Total","Total","Nombre","7.216.649",""
"2012","Turquie","Total","Total","Nombre","74.724.269",""
