"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2000","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","70.252",""
"2000","Estonie","Nombre","4.679",""
"2000","Irlande","Nombre","2.887",""
"2000","Grèce","Nombre","8.038",""
"2000","Espagne","Nombre","45.104",""
"2000","France","Nombre","48.835",""
"2000","Croatie","Nombre","2.623",""
"2000","Italie","Nombre","54.039",""
"2000","Chypre","Nombre","287",""
"2000","Lettonie","Nombre","8.831",""
"2000","Lituanie","Nombre","8.667",""
"2000","Luxembourg","Nombre","400",""
"2000","Hongrie","Nombre","15.539",""
"2000","Malte","Nombre","246",""
"2000","Pays-Bas","Nombre","12.700",""
"2000","Autriche","Nombre","6.896",""
"2000","Pologne","Nombre","65.336",""
"2000","Portugal","Nombre","12.728",""
"2000","Roumanie","Nombre","48.267",""
"2000","Slovénie","Nombre","1.136",""
"2000","Slovaquie","Nombre","7.136",""
"2000","Finlande","Nombre","2.887",""
"2000","Suède","Nombre","5.453",""
"2000","England et Wales","Nombre","65.666",""
"2000","Scotland","Nombre","5.869",""
"2000","Northern Ireland (UK)","Nombre","1.011",""
"2000","Islande","Nombre","78",""
"2000","Liechtenstein","Nombre","69",""
"2000","Norvège","Nombre","2.548",""
"2000","Suisse","Nombre","5.666",""
"2000","Monténégro","Nombre","671",""
"2000","Ancienne République yougoslave de Macédoine","Nombre","1.425",""
"2000","Serbie","Nombre",":",""
"2000","Turquie","Nombre","50.628",""
"2001","Belgique","Nombre","8.544",""
"2001","Bulgarie","Nombre","9.283",""
"2001","Tchéquie","Nombre","20.971",""
"2001","Danemark","Nombre","3.236",""
"2001","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","70.203",""
"2001","Estonie","Nombre","4.803",""
"2001","Irlande","Nombre","3.025",""
"2001","Grèce","Nombre","8.343",""
"2001","Espagne","Nombre","47.571",""
"2001","France","Nombre","47.005",""
"2001","Croatie","Nombre","2.679",""
"2001","Italie","Nombre","55.751",""
"2001","Chypre","Nombre","369",""
"2001","Lettonie","Nombre","8.673",""
"2001","Lituanie","Nombre","10.750",""
"2001","Luxembourg","Nombre","341",""
"2001","Hongrie","Nombre","17.275",""
"2001","Malte","Nombre","257",""
"2001","Pays-Bas","Nombre","13.743",""
"2001","Autriche","Nombre","6.915",""
"2001","Pologne","Nombre","80.004",""
"2001","Portugal","Nombre","13.210",""
"2001","Roumanie","Nombre","49.840",""
"2001","Slovénie","Nombre","1.155",""
"2001","Slovaquie","Nombre","7.509",""
"2001","Finlande","Nombre","3.110",""
"2001","Suède","Nombre","6.060",""
"2001","England et Wales","Nombre","67.056",""
"2001","Scotland","Nombre","6.182",""
"2001","Northern Ireland (UK)","Nombre","872",""
"2001","Islande","Nombre","110",""
"2001","Liechtenstein","Nombre","86",""
"2001","Norvège","Nombre","2.762",""
"2001","Suisse","Nombre","5.161",""
"2001","Monténégro","Nombre","669",""
"2001","Ancienne République yougoslave de Macédoine","Nombre","1.398",""
"2001","Serbie","Nombre",":",""
"2001","Turquie","Nombre","55.804",""
"2002","Belgique","Nombre","8.605",""
"2002","Bulgarie","Nombre","9.607",""
"2002","Tchéquie","Nombre","16.597",""
"2002","Danemark","Nombre","3.435",""
"2002","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","75.025",""
"2002","Estonie","Nombre","4.775",""
"2002","Irlande","Nombre","3.028",""
"2002","Grèce","Nombre","8.284",""
"2002","Espagne","Nombre","51.882",""
"2002","France","Nombre","53.463",""
"2002","Croatie","Nombre","2.641",""
"2002","Italie","Nombre","55.670",""
"2002","Chypre","Nombre","351",""
"2002","Lettonie","Nombre","8.358",""
"2002","Lituanie","Nombre","11.345",""
"2002","Luxembourg","Nombre","391",""
"2002","Hongrie","Nombre","17.838",""
"2002","Malte","Nombre","283",""
"2002","Pays-Bas","Nombre","14.137",""
"2002","Autriche","Nombre","7.511",""
"2002","Pologne","Nombre","80.990",""
"2002","Portugal","Nombre","13.772",""
"2002","Roumanie","Nombre","48.081",""
"2002","Slovénie","Nombre","1.120",""
"2002","Slovaquie","Nombre","7.849",""
"2002","Finlande","Nombre","3.469",""
"2002","Suède","Nombre","6.478",""
"2002","England et Wales","Nombre","71.218",""
"2002","Scotland","Nombre","6.452",""
"2002","Northern Ireland (UK)","Nombre","1.029",""
"2002","Islande","Nombre","107",""
"2002","Liechtenstein","Nombre","67",""
"2002","Norvège","Nombre","2.832",""
"2002","Suisse","Nombre","4.937",""
"2002","Monténégro","Nombre","715",""
